155.1716,330.2676,52.00076,-0.9997991,-0.00488868,0.004256389,0.01897155,164.9258,244.1363,100.8627,-0.999999,-0.0001595298,-0.001331003,-0.0005486936
41.91,-73.96,12.54,-0.66,-4.44,6.1,-60.11,0.25,-10.22,23.4,-0.47,-6.32,0.15,155.1752,330.2771,52.02136,-0.9997939,-0.004997984,0.004911698,0.01905439,164.9259,244.1382,100.8631,-0.9999989,-0.0001467021,-0.00135394,-0.0005611081
-85.09,-34.72,-1.77,-0.39,-6.17,6.71,-106.79,2.49,12.51,23.42,-1.2,-6.61,0.15,155.1754,330.2775,52.02028,-0.9997948,-0.004998385,0.004871368,0.01901816,164.9257,244.1374,100.861,-0.999999,-0.0001471354,-0.001318993,-0.0004962011
-85.49,-5.39,1.91,-0.23,-6.93,6.98,-107.29,3.4,22.87,23.48,-1.52,-6.73,0.15,155.1752,330.2774,52.02027,-0.9997944,-0.005019242,0.004870502,0.01903416,164.9249,244.1379,100.8608,-0.999999,-0.0001408534,-0.001327875,-0.0004934455
-85.55,0.81,2.65,-0.11,-7.28,7.1,-107.71,3.78,27.49,23.57,-1.67,-6.79,0.15,155.1764,330.2774,52.02143,-0.9997946,-0.004987944,0.004854728,0.01903397,164.9243,244.1368,100.8624,-0.999999,-0.0001451565,-0.001330997,-0.0005411573
-85.58,2.04,2.79,-0.01,-7.44,7.15,-107.99,3.95,29.59,23.66,-1.72,-6.82,0.15,155.1742,330.2671,52.00176,-0.9997982,-0.004925122,0.004241706,0.0190082,164.9243,244.1326,100.8585,-0.999999,-0.0001881029,-0.001338659,-0.0004446524
-85.63,2.27,2.82,0.08,-7.51,7.18,-108.17,4.03,30.53,23.75,-1.76,-6.83,0.17,155.1727,330.2669,52.00245,-0.9997975,-0.004899935,0.004309273,0.01903624,164.9245,244.137,100.8621,-0.999999,-0.0001335489,-0.001328345,-0.0005063501
-85.67,2.32,2.83,0.16,-7.54,7.19,-108.29,4.06,30.94,23.85,-1.77,-6.83,0.17,155.1755,330.2782,52.02146,-0.9997941,-0.004998189,0.004838757,0.01906488,164.9259,244.1402,100.8618,-0.9999989,-0.0001494471,-0.00133321,-0.0005413
-85.73,2.33,2.84,0.23,-7.56,7.19,-108.38,4.08,31.13,23.94,-1.77,-6.84,0.15,155.1731,330.2699,52.00333,-0.9997977,-0.004936715,0.004299927,0.01902156,164.9238,244.1393,100.8621,-0.999999,-0.0001523772,-0.001319049,-0.0005226627
-85.77,2.33,2.84,0.3,-7.56,7.2,-108.48,4.1,31.22,24.04,-1.78,-6.82,0.15,155.1765,330.2776,52.02221,-0.9997939,-0.005025995,0.004859484,0.01905765,164.9246,244.1375,100.8611,-0.999999,-0.0001387558,-0.001319224,-0.00053274
-85.82,2.34,2.83,0.38,-7.57,7.19,-108.55,4.09,31.25,24.14,-1.78,-6.82,0.15,155.1738,330.2771,52.02126,-0.9997951,-0.005008842,0.004819535,0.01900937,164.9236,244.1394,100.8621,-0.999999,-0.0001619532,-0.001326081,-0.0005544892
