131.109,388.1008,48.05988,0.9997609,0.01066484,-0.01188521,-0.01493616,146.6134,339.2575,30.52597,-0.999898,-0.009509364,0.008832579,-0.005970888,149.9867,251.9506,79.80589,-0.9999153,-0.001923492,0.0119116,0.004877036
121.69,-32.52,-50.31,-78.04,-10.35,3.01,41.03,3.34,18.79,-28.64,-7.86,-4.56,0.17,131.109,388.1019,48.05968,0.9997597,0.01071266,-0.01191805,-0.01495874,146.6133,339.2657,30.51172,-0.9998966,-0.009677488,0.00859386,-0.006275326,150.0184,251.9422,79.79985,-0.9999161,-0.001932953,0.01191639,0.004717515
98.46,-6.11,-18.4,-78.1,-12.02,3.6,40.63,3.51,20.25,-28.68,-8.94,-4.63,0.17,131.1105,388.1008,48.06098,0.9997615,0.01067429,-0.01183939,-0.014929,146.6209,339.2672,30.52008,-0.9999034,-0.009151471,0.008845175,-0.005591182,149.9873,251.9507,79.80501,-0.9999154,-0.001922606,0.01191409,0.004867416
97.79,0.87,-9.47,-78.09,-12.79,3.87,40.39,3.6,20.89,-28.65,-9.42,-4.66,0.17,131.1102,388.1024,48.06116,0.9997614,0.0106894,-0.01188519,-0.01489003,146.5997,339.2434,30.56456,-0.9998786,-0.01079782,0.009123518,-0.006564857,150.018,251.9428,79.79927,-0.999916,-0.001927284,0.01191582,0.004728811
97.79,2.28,-7.64,-78.02,-13.14,3.98,40.2,3.63,21.19,-28.58,-9.63,-4.68,0.17,131.1088,388.1015,48.0605,0.9997602,0.01069173,-0.01189906,-0.01495424,146.6107,339.2667,30.52419,-0.9999023,-0.009202475,0.008872533,-0.00566182,150.0148,251.942,79.80054,-0.999917,-0.001941202,0.0118513,0.004684228
97.77,2.55,-7.29,-77.93,-13.29,4.05,40.05,3.66,21.32,-28.5,-9.73,-4.67,0.17,131.0942,388.0949,48.06662,0.9997717,0.01073029,-0.01180711,-0.01421567,146.6038,339.2605,30.52733,-0.9998965,-0.009591051,0.008858593,-0.006046052,150.0163,251.9431,79.7987,-0.999916,-0.001931053,0.01191179,0.004742485
97.76,2.61,-7.21,-77.84,-13.35,4.07,39.91,3.66,21.37,-28.41,-9.78,-4.68,0.17,131.0937,388.094,48.06715,0.9997724,0.01070627,-0.01174556,-0.01423612,146.5946,339.2406,30.55464,-0.9998667,-0.01152063,0.008909287,-0.007379721,150.015,251.9415,79.79975,-0.9999161,-0.001927965,0.01190267,0.0047447
97.75,2.62,-7.2,-77.74,-13.38,4.08,39.78,3.67,21.41,-28.32,-9.8,-4.69,0.17,131.1195,388.1,48.06691,0.9997563,0.0107083,-0.01231427,-0.01486852,146.6151,339.2609,30.52421,-0.9998969,-0.009565815,0.00890056,-0.005962996,149.9866,251.9516,79.8051,-0.9999158,-0.00192616,0.01187763,0.004863068
97.73,2.62,-7.19,-77.64,-13.39,4.09,39.65,3.69,21.42,-28.22,-9.81,-4.68,0.17,131.1073,388.1022,48.06003,0.9997626,0.01067722,-0.01182632,-0.01486497,146.5881,339.2315,30.57158,-0.9998671,-0.01141978,0.009236054,-0.007085494,150.0157,251.9422,79.80034,-0.999917,-0.001939307,0.01184421,0.004685694
97.72,2.62,-7.19,-77.54,-13.39,4.09,39.53,3.69,21.43,-28.13,-9.81,-4.68,0.17,131.1106,388.1028,48.06144,0.9997624,0.0106841,-0.01185085,-0.01486017,146.6084,339.2543,30.54048,-0.9998973,-0.009405452,0.009231125,-0.005639563,150.0152,251.9434,79.79778,-0.9999164,-0.001932267,0.01188041,0.004724871
97.7,2.62,-7.2,-77.44,-13.39,4.09,39.4,3.7,21.42,-28.03,-9.8,-4.68,0.17,131.1101,388.1028,48.06111,0.9997609,0.01069819,-0.01186049,-0.01493627,146.6081,339.2462,30.59228,-0.9998714,-0.01092053,0.009487813,-0.00693244,150.015,251.9423,79.79826,-0.9999167,-0.001946026,0.01185953,0.004706582
97.67,2.63,-7.19,-77.34,-13.4,4.09,39.27,3.68,21.42,-27.94,-9.81,-4.67,0.17,131.1082,388.102,48.06136,0.9997606,0.01070443,-0.01189404,-0.0149241,146.5997,339.2427,30.56522,-0.9998778,-0.01084269,0.009159811,-0.006566349,150.0153,251.9419,79.79927,-0.999917,-0.001935904,0.01185418,0.004686939
97.66,2.62,-7.2,-77.23,-13.4,4.08,39.15,3.68,21.42,-27.85,-9.81,-4.67,0.17,131.1078,388.1028,48.06141,0.9997609,0.01072129,-0.01186413,-0.01492242,146.5886,339.2328,30.57034,-0.999867,-0.01141858,0.00926125,-0.007066124,150.016,251.943,79.80132,-0.9999166,-0.001949065,0.01187446,0.004710488
97.64,2.63,-7.2,-77.13,-13.4,4.08,39.02,3.69,21.43,-27.75,-9.81,-4.67,0.17,131.1105,388.1024,48.06083,0.9997623,0.01068677,-0.01186616,-0.01484665,146.615,339.2636,30.5248,-0.9998974,-0.009527355,0.008893001,-0.005952402,149.9844,251.9521,79.80538,-0.9999165,-0.001936086,0.01183286,0.004829983
97.62,2.62,-7.19,-77.03,-13.4,4.08,38.89,3.68,21.43,-27.66,-9.82,-4.68,0.17,131.1088,388.1037,48.06208,0.9997616,0.01067742,-0.01183937,-0.01492003,146.6304,339.2747,30.54551,-0.9999006,-0.009063967,0.009096988,-0.00582778,150.0148,251.9426,79.79961,-0.9999169,-0.001949476,0.01185923,0.004679834
